,num_user,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
Long Live The Queen,15,44.1,0.4,1.7,2.6,3.55,8.9
Loom,5,8.4,0.2,0.4,1.5,2.2,4.1
Baldur's Gate Enhanced Edition,22,3093.7,0.6,4.25,10.45,27.5,2630.0
Another World,5,6.2,0.1,0.2,1.7,2.0,2.2
Sid Meier's Pirates!,22,155.3,0.1,2.3499999999999996,5.3,9.8,38.0
Home,9,14.2,0.2,1.1,1.3,1.9,3.6
Vampire The Masquerade - Bloodlines,29,1047.6,0.1,4.2,9.6,30.0,556.0
Edge of Space,6,15.4,0.4,0.525,1.05,3.075,8.8
GRAV,10,142.1,0.2,0.55,2.4,13.974999999999998,73.0
Star Trek Online,48,3498.0,0.1,2.775,18.95,73.5,676.0
The Repopulation,2,65.0,24.0,28.25,32.5,36.75,41.0
Dragon Nest Europe,18,1028.2,0.1,1.4,6.199999999999999,17.6,614.0
Age of Conan Unchained - EU version,7,143.70000000000002,1.6,4.15,6.8,16.5,94.0
Devilian,12,93.80000000000001,0.2,2.25,4.9,9.75,34.0
Infinity Wars - Animated Trading Card Game,15,96.2,0.1,0.35,1.7,5.45,50.0
Forsaken World ,5,101.0,0.3,0.9,1.1,1.7,97.0
Stranded Deep,37,675.9999999999999,0.5,1.4,4.9,11.8,167.0
Global Agenda,14,552.6,0.3,10.575000000000001,30.0,51.75,126.0
SolForge,12,39.0,0.2,0.5499999999999999,1.4,4.199999999999999,12.2
Deadbreed,17,47.6,0.1,0.5,1.5,3.9,12.0
Dragons and Titans,21,70.10000000000001,0.1,0.3,1.0,4.3,17.8
Child of Light,22,171.4,0.2,2.7750000000000004,7.5,11.524999999999999,18.3
The Expendabros,62,214.99999999999994,0.1,0.4,1.15,3.1000000000000005,34.0
Gems of War,6,290.70000000000005,0.3,2.4000000000000004,25.15,91.25,132.0
12 Labours of Hercules,7,34.699999999999996,0.2,3.2,5.2,6.55,9.8
9 Clues 2 The Ward,1,5.1,5.1,5.1,5.1,5.1,5.1
Strife,31,306.7,0.1,0.4,1.2,5.35,181.0
Frankenstein Master of Death,5,20.099999999999998,2.4,2.4,2.9,3.0,9.4
Sakura Clicker,45,1730.1,0.2,0.5,1.8,4.7,1256.0
Teddy Floppy Ear - The Race,2,6.800000000000001,0.4,1.9000000000000001,3.4000000000000004,4.9,6.4
Car Mechanic Simulator 2015,12,108.89999999999998,0.3,2.0250000000000004,6.6,12.475000000000001,35.0
GunZ 2 The Second Duel,60,530.7999999999998,0.1,0.475,2.45,8.200000000000001,78.0
AI War Fleet Command,7,26.900000000000002,0.2,1.3,2.5,6.050000000000001,9.5
Red Crucible Firestorm,39,115.20000000000002,0.1,0.25,0.7,2.6500000000000004,23.0
Batman Arkham Origins Blackgate - Deluxe Edition,3,14.3,0.1,1.1500000000000001,2.2,7.1,12.0
Hearts of Iron III,21,1203.0,0.2,1.0,6.6,15.9,893.0
Ultimate General Gettysburg,5,42.9,0.5,1.0,10.0,11.7,19.7
March of the Eagles,5,64.6,0.4,1.3,10.9,23.0,29.0
Sengoku,5,14.3,0.3,0.7,1.3,2.6,9.4
The Raven - Legacy of a Master Thief,4,37.9,1.1,7.025,9.3,11.75,18.2
Fistful of Frags,77,325.40000000000003,0.1,0.6,1.7,4.5,39.0
MapleStory,21,643.8,0.1,0.6,2.4,16.7,372.0
Football Manager 2016 Demo,7,28.6,0.1,0.6000000000000001,1.9,5.800000000000001,13.8
Transformice,42,2269.5000000000005,0.2,0.6,2.4000000000000004,16.925,500.0
MicroVolts Surge,17,140.1,0.2,0.4,3.3,5.6,77.0
MURDERED SOUL SUSPECT,18,93.49999999999999,0.2,1.225,2.4,4.375,39.0
Deathmatch Classic,30,23.099999999999994,0.1,0.125,0.2,0.475,9.3
UberStrike,28,70.2,0.2,0.4,0.6,1.675,25.0
Krosmaster Arena,4,6.1000000000000005,0.2,0.35000000000000003,0.6000000000000001,1.7750000000000001,4.7
Merchants of Kaidan,2,15.1,4.9,6.225,7.55,8.875,10.2
Pro Evolution Soccer 2015,11,2499.0,11.9,48.0,147.0,243.0,892.0
Thief,68,637.7,0.1,1.7,3.75,12.424999999999999,58.0
Rochard,13,30.1,0.2,0.6,1.2,2.6,8.3
Aura Kingdom,41,209.39999999999998,0.1,0.7,1.7,6.0,36.0
Street Fighter IV,9,76.89999999999999,0.9,2.6,8.9,10.6,27.0
Sid Meier's Railroads!,14,128.5,0.1,2.3499999999999996,3.65,10.674999999999999,42.0
Planetary Annihilation TITANS,11,106.1,0.8,4.2,10.2,11.75,27.0
World in Conflict Soviet Assault,9,49.8,0.1,0.9,1.1,4.6,32.0
Unreal Tournament 3 Black Edition,37,329.90000000000003,0.5,1.4,2.9,11.0,51.0
Magic 2015,18,447.8,0.3,2.8500000000000005,8.15,28.75,206.0
Modular Combat,13,14.199999999999996,0.1,0.2,0.6,1.2,3.9
Mystery PI The Vegas Heist,2,18.900000000000002,0.3,4.875,9.450000000000001,14.025,18.6
Mystery P.I. The Lottery Ticket,2,17.099999999999998,3.9,6.225,8.549999999999999,10.874999999999998,13.2
Amazing Adventures Around the World,1,12.0,12.0,12.0,12.0,12.0,12.0
Mishap An Accidental Haunting,2,15.6,6.4,7.1000000000000005,7.8,8.5,9.2
Chuzzle Deluxe,1,6.3,6.3,6.3,6.3,6.3,6.3
Escape Rosecliff Island,2,6.2,2.0,2.55,3.1,3.6500000000000004,4.2
Reign Of Kings,32,1190.6000000000001,0.8,3.375,12.600000000000001,26.5,303.0
Life is Feudal Your Own,13,368.6,1.5,2.5,7.4,52.0,103.0
Dead Rising 3,14,172.20000000000002,0.5,3.55,11.5,17.95,37.0
Just Cause 3,15,229.49999999999997,1.0,7.8,11.4,20.45,47.0
Warhammer End Times - Vermintide,17,314.4,1.0,4.6,13.7,24.0,59.0
IL-2 Sturmovik Cliffs of Dover,12,271.4,0.7,2.025,8.3,12.825,184.0
Angels Fall First,3,15.2,1.6,2.7,3.8,6.800000000000001,9.8
Legends of Aethereus,1,8.8,8.8,8.8,8.8,8.8,8.8
X Rebirth,6,277.5,1.8,5.4,6.85,17.525,236.0
Planet Explorers,12,188.4,0.4,1.3499999999999999,3.1500000000000004,10.775,125.0
Kingdom Rush,9,587.7,1.1,4.8,5.9,15.0,508.0
The Elder Scrolls Online Tamriel Unlimited,17,684.6000000000001,1.0,6.2,13.0,56.0,214.0
Zeno Clash 2,2,9.6,1.7,3.25,4.8,6.3500000000000005,7.9
StarForge,19,105.5,0.1,0.35,1.0,1.75,46.0
Magicka 2,16,62.9,0.2,0.8,1.6,3.425,22.0
Interstellar Marines,10,37.0,0.1,0.32499999999999996,0.7,2.0999999999999996,18.8
Way of the Samurai 4,3,9.0,0.4,2.0500000000000003,3.7,4.300000000000001,4.9
Kenshi,4,266.7,0.1,0.17500000000000002,0.30000000000000004,66.8,266.0
X3 Albion Prelude,10,403.5,0.2,2.725,13.2,74.0,133.0
Knights and Merchants,18,41.3,0.1,0.5,0.95,3.1000000000000005,13.1
CroNix,9,12.399999999999999,0.2,0.4,0.7,1.8,4.3
F1 2014,8,73.8,0.4,2.5000000000000004,4.800000000000001,13.399999999999999,28.0
Yet Another Zombie Defense,24,40.199999999999996,0.2,0.6749999999999999,0.8500000000000001,1.4000000000000001,7.4
Sniper Elite,10,267.1,0.5,0.925,1.8,5.4,238.0
Waveform,10,28.5,0.1,0.30000000000000004,0.75,2.4000000000000004,19.0
Pixel Piracy,26,160.9,0.2,0.8,2.8,7.975,39.0
Divinity Original Sin,67,2380.1,0.1,4.449999999999999,17.7,62.0,138.0
HELLDIVERS,6,29.9,0.4,3.5,3.8499999999999996,7.275,10.0
Fallen Enchantress,4,151.3,5.8,7.075,16.75,47.5,112.0
Dungeon of the Endless,18,176.6,0.1,2.3249999999999997,6.65,14.850000000000001,28.0
Tom Clancy's EndWar,3,5.2,1.0,1.1,1.2,2.1,3.0
Outland,7,20.1,0.7,1.05,2.5,4.4,6.0
Divinity Original Sin Enhanced Edition,14,124.0,0.5,1.2249999999999999,3.55,11.375,43.0
Stealth Inc 2,9,11.100000000000001,0.2,0.5,0.5,0.9,4.0
Gnomoria,11,283.29999999999995,0.2,0.4,0.9,5.5,246.0
8BitMMO,24,11.199999999999998,0.1,0.2,0.2,0.625,2.4
Hunting Unlimited 2010,2,6.0,1.9,2.4499999999999997,3.0,3.55,4.1
Sanctum,39,134.19999999999996,0.1,0.45,1.7,3.6,33.0
Nether,33,259.3,0.1,1.0,2.3,7.2,62.0
GameMaker Studio,24,1089.8,0.1,0.5499999999999999,2.5,17.700000000000003,730.0
Fallout 3,38,689.5999999999999,0.1,1.7249999999999999,7.35,18.775,134.0
Bionic Dues,6,10.8,0.1,0.35,1.25,3.05,4.5
Guild of Dungeoneering,3,46.099999999999994,10.2,13.2,16.2,17.95,19.7
Holy Potatoes! A Weapon Shop?!,4,26.799999999999997,3.7,6.0249999999999995,7.25,7.925000000000001,8.6
Sid Meier's Starships,9,110.7,0.7,4.7,6.3,26.0,28.0
Evil Genius,12,201.5,0.5,4.275,13.9,23.5,50.0
Pillars of Eternity,39,1518.8999999999999,0.6,6.95,32.0,52.5,237.0
Ragnarok Online 2,20,1204.8000000000002,0.3,0.575,2.5,37.0,802.0
East India Company Gold,5,12.7,0.1,0.2,0.3,0.5,11.6
Penguins Arena Sedna's World,4,20.9,0.4,3.55,5.05,6.725,10.4
Sunrider Mask of Arcadius,9,28.8,0.2,0.3,0.4,4.6,15.5
Tropico 3 - Steam Special Edition,24,336.4,0.3,0.95,4.5,20.424999999999997,80.0
Shadows on the Vatican - Act I Greed,8,19.9,0.2,0.975,2.0999999999999996,3.8000000000000003,5.8
Super Killer Hornet Resurrection,10,31.5,0.3,1.4249999999999998,2.45,4.45,8.4
Frozen Hearth,8,13.399999999999999,0.2,0.7000000000000001,1.4500000000000002,2.725,3.4
Scourge Outbreak,4,19.400000000000002,0.3,1.725,3.3000000000000003,6.425000000000001,12.5
Sakura Spirit,11,32.699999999999996,0.7,1.6,2.4,3.2,8.2
Really Big Sky,21,31.400000000000006,0.1,0.3,1.2,1.5,8.7
Gun Monkeys,29,33.599999999999994,0.1,0.3,0.9,1.3,4.7
Nosferatu The Wrath of Malachi,11,18.099999999999998,0.2,0.8,1.1,1.25,7.0
Galactic Civilizations I Ultimate Edition,3,58.1,0.5,0.55,0.6,28.8,57.0
RPG Maker VX Ace,29,536.2,0.1,1.1,3.4,18.6,214.0
You Need A Budget 4 (YNAB),10,152.29999999999998,0.7,1.5,4.1,14.350000000000001,80.0
Tales of Zestiria,7,199.10000000000002,8.2,16.45,28.0,36.5,57.0
Trials Fusion,7,137.3,0.5,4.4,9.1,18.95,81.0
Half-Life 2 Update,9,110.80000000000001,0.2,1.1,1.7,10.4,65.0
Gauntlet ,33,324.59999999999997,0.4,2.3,5.6,9.9,66.0
Tabletop Simulator,18,203.9,0.2,2.3,5.35,12.25,58.0
Oddworld New 'n' Tasty,6,23.0,0.3,0.6,3.25,6.800000000000001,8.5
Cloudberry Kingdom,1,7.2,7.2,7.2,7.2,7.2,7.2
Screencheat,5,18.9,0.9,3.0,4.1,4.1,6.8
Rebel Galaxy,10,109.8,1.8,3.575,6.8,14.075000000000001,31.0
Gas Guzzlers Extreme,6,80.60000000000001,0.3,1.725,2.5,11.000000000000002,60.0
Wanderlust Rebirth,9,33.800000000000004,0.1,0.7,2.1,3.8,16.4
Teslagrad,3,5.0,1.4,1.5499999999999998,1.7,1.7999999999999998,1.9
Artemis Spaceship Bridge Simulator,3,8.5,1.8,2.2,2.6,3.3499999999999996,4.1
Bulletstorm,23,299.80000000000007,0.4,1.65,3.9,6.5,132.0
Rush Bros,8,9.4,0.3,0.775,1.15,1.4249999999999998,2.6
RPG Tycoon,3,6.300000000000001,1.0,1.35,1.7,2.65,3.6
RPG Maker 2003,3,157.2,0.6,3.5999999999999996,6.6,78.3,150.0
Tales from the Borderlands,15,173.2,0.6,5.25,10.9,15.55,31.0
Tiny Brains,2,7.699999999999999,0.6,2.2249999999999996,3.8499999999999996,5.475,7.1
Hack 'n' Slash,4,13.600000000000001,0.2,0.49999999999999994,1.05,3.95,11.3
Lego Star Wars Saga,7,35.1,0.2,0.35,0.7,7.5,18.5
Rogue Shooter The FPS Roguelike,3,27.9,0.5,3.95,7.4,13.7,20.0
Fearless Fantasy,4,34.6,0.4,3.7750000000000004,6.1,10.975,22.0
Titan Souls,4,6.8,0.3,0.75,1.2,2.15,4.1
Ultimate Tic-Tac-Toe,9,22.2,0.2,0.2,0.3,1.3,17.7
Dead Effect,7,7.000000000000001,0.2,0.25,0.4,0.75,4.4
Star Wars Dark Forces,14,52.7,0.1,0.4,1.2999999999999998,3.4,23.0
Valdis Story Abyssal City,7,142.0,0.2,0.55,2.9,11.899999999999999,114.0
Star Wars Republic Commando,33,136.40000000000003,0.1,0.9,2.4,6.5,15.8
Joe Danger 2 The Movie,13,12.399999999999999,0.1,0.2,0.4,1.2,4.7
Deadlight,38,108.60000000000002,0.1,0.42500000000000004,1.2,4.25,14.6
Lucius,24,106.89999999999998,0.1,1.225,2.3,4.4750000000000005,44.0
Magic Duels,63,849.2000000000002,0.1,1.2999999999999998,5.8,12.6,146.0
Galactic Civilizations II Ultimate Edition,24,288.2,0.1,0.8500000000000001,3.6,10.1,155.0
RIDE Game,3,64.8,2.4,6.4,10.4,31.2,52.0
The Cat Lady,4,9.799999999999999,0.8,1.9249999999999998,2.5999999999999996,3.125,3.8
Driver San Francisco,17,104.99999999999999,0.1,0.9,1.5,4.0,48.0
EverQuest II,8,96.8,0.2,0.6499999999999999,4.5,9.399999999999999,67.0
Assassin's Creed Revelations,30,1145.1,0.3,8.649999999999999,15.6,36.5,328.0
Hunted The Demon's Forge,6,34.099999999999994,0.2,1.0,2.15,10.05,16.3
Bloodline Champions,20,289.09999999999997,0.2,1.0250000000000001,2.8,11.55,131.0
Call of Duty Black Ops - OSX,3,31.8,5.3,8.45,11.6,13.25,14.9
Call of Duty Black Ops - Multiplayer OSX,2,62.7,2.7,17.025,31.35,45.675,60.0
Mortal Online,11,15.100000000000003,0.2,0.45,0.7,1.2000000000000002,5.4
X-COM Terror from the Deep,6,88.9,0.2,1.125,4.8,19.35,55.0
X-COM Interceptor,2,9.299999999999999,1.1,2.875,4.6499999999999995,6.425,8.2
X-COM UFO Defense,12,128.0,0.1,1.675,3.35,8.325,62.0
Operation Flashpoint Red River,8,39.5,0.2,0.9749999999999999,2.9,9.775,11.5
NBA 2K16,12,993.3,7.3,18.8,36.0,95.75,293.0
Serious Sam Classic The First Encounter,7,24.7,0.2,0.8,4.7,5.35,7.5
Blood Bowl Chaos Edition,13,1222.1999999999998,0.4,7.5,12.8,62.0,891.0
The Guild II Renaissance,12,86.6,0.2,3.825,5.5,12.375000000000002,16.4
King's Bounty Warriors of the North,7,1072.8,2.8,35.0,50.0,238.5,473.0
Disciples III Renaissance,6,554.1,2.1,2.2750000000000004,2.9,123.825,380.0
Might & Magic Heroes VII ,4,367.2,1.0,2.3499999999999996,7.1,96.55,352.0
King's Bounty Crossworlds,4,247.1,0.1,0.4,1.5,62.875,244.0
King's Bounty Dark Side,1,183.0,183.0,183.0,183.0,183.0,183.0
Shadowrun Returns,40,464.4000000000001,0.1,1.8,4.85,14.35,122.0
SpellForce 2 - Faith in Destiny,6,251.6,2.1,6.05,13.75,76.575,121.0
Blackguards,12,237.8,0.4,1.25,1.5,20.625,108.0
Grotesque Tactics 2 - Dungeons and Donuts,1,86.0,86.0,86.0,86.0,86.0,86.0
Age of Wonders III,32,1121.3000000000002,0.2,4.075,17.8,57.5,182.0
Magic The Gathering  Duels of the Planeswalkers 2012,18,521.8999999999999,1.2,8.475000000000001,18.799999999999997,29.0,86.0
Blackguards 2,3,83.5,3.8,7.25,10.7,39.85,69.0
Pinball FX2,11,175.7,0.2,0.8500000000000001,3.8,7.35,79.0
Rocksmith 2014,22,1724.8999999999999,2.1,8.575,38.5,65.0,687.0
Fallen Enchantress Legendary Heroes,11,187.20000000000002,0.6,7.050000000000001,7.9,28.0,49.0
Grotesque Tactics Evil Heroes,5,65.5,0.9,1.5,11.5,12.6,39.0
CastleStorm,13,76.89999999999999,0.2,1.1,2.5,8.4,30.0
Pinball Arcade,8,7.6,0.1,0.27499999999999997,0.45,1.275,2.8
Lichdom Battlemage,11,48.2,1.0,1.9500000000000002,4.4,6.35,9.3
Kings Bounty Legions,6,64.60000000000001,0.2,0.4,0.4,4.75,57.0
Prime World,8,1352.3,0.1,0.9249999999999999,1.7999999999999998,135.225,813.0
Football Superstars,8,159.70000000000002,0.1,0.2,0.6,16.75,103.0
Rise of the Triad,10,21.0,0.2,1.175,1.9,2.575,4.7
Hitman Codename 47,14,30.099999999999998,0.1,0.3,0.4,0.7750000000000001,12.3
Magic Barrage - Bitferno,7,52.400000000000006,0.1,0.30000000000000004,1.1,6.8,37.0
Tony Hawk's Pro Skater HD,6,54.4,0.3,2.2750000000000004,3.0999999999999996,14.200000000000001,28.0
Divine Souls,12,28.7,0.1,0.2,0.25,2.95,14.6
Tap Tap Infinity,9,39.9,0.2,1.2,3.8,7.3,11.3
Super Crate Box,31,51.800000000000004,0.1,0.55,1.3,2.55,5.8
Geometry Dash,12,262.8,0.3,1.725,4.55,17.075000000000003,162.0
Brothers - A Tale of Two Sons,40,95.60000000000002,0.1,0.7,2.75,3.55,6.3
McPixel,19,51.699999999999996,0.2,0.6499999999999999,1.4,3.45,14.4
Fallen Earth,44,1272.5000000000002,0.1,0.37500000000000006,0.8500000000000001,1.8250000000000002,1142.0
World of Soccer online,14,5.400000000000001,0.1,0.2,0.25,0.4,1.8
Particula,6,9.299999999999999,0.3,0.475,1.1,2.625,3.4
Absolute Drift,3,5.9,0.3,1.45,2.6,2.8,3.0
Mini Ninjas,2,9.0,0.3,2.4,4.5,6.6,8.7
Caster,20,27.199999999999992,0.1,0.45,0.95,1.775,4.3
La-Mulana,5,16.4,0.2,0.4,0.8,2.5,12.5
WWE 2K15,5,144.6,0.6,1.1,2.7,14.2,126.0
Galaxy on Fire 2 Full HD,12,83.9,0.2,0.4,1.6,11.75,22.0
X3 Terran Conflict,18,154.3,0.2,0.42500000000000004,1.05,5.95,72.0
The Musketeers Victoria's Quest,1,36.0,36.0,36.0,36.0,36.0,36.0
Dungeon Siege III,24,188.4,0.1,0.9,3.0999999999999996,13.600000000000001,27.0
LEGO Harry Potter Years 5-7,4,94.0,4.0,18.25,24.5,29.75,41.0
12 Labours of Hercules II The Cretan Bull,8,34.29999999999999,0.1,0.6500000000000001,1.6,6.525,14.7
Ballad of Solar,1,10.1,10.1,10.1,10.1,10.1,10.1
Heroes of Hellas 3 Athens,2,44.9,9.9,16.175,22.45,28.725,35.0
Broken Sword 5 - the Serpent's Curse,6,85.80000000000001,1.9,8.0,12.0,20.425,30.0
Assassins Creed Chronicles China,2,9.6,3.0,3.9,4.8,5.699999999999999,6.6
Enigmatis 2 The Mists of Ravenwood,1,5.9,5.9,5.9,5.9,5.9,5.9
Nightmares from the Deep 3 Davy Jones,1,5.9,5.9,5.9,5.9,5.9,5.9
Melissa K. and the Heart of Gold Collector's Edition,2,9.399999999999999,4.1,4.3999999999999995,4.699999999999999,5.0,5.3
Kingdom Tales 2,2,10.5,5.2,5.2250000000000005,5.25,5.2749999999999995,5.3
Portal of Evil Stolen Runes Collector's Edition,1,5.1,5.1,5.1,5.1,5.1,5.1
The Room,3,13.9,3.9,3.95,4.0,5.0,6.0
Risen 3 - Titan Lords,4,54.5,0.2,2.45,9.15,20.325,36.0
Left in the Dark No One on Board,2,5.8,2.4,2.65,2.9,3.15,3.4
Toki Tori 2+,9,21.399999999999995,0.2,0.4,1.1,1.6,13.7
Fable Anniversary,17,161.70000000000002,0.1,1.9,5.0,18.9,26.0
The Treasures of Montezuma 4,4,554.4,0.9,2.1,4.75,141.25,544.0
Secret of the Magic Crystal,3,5.8,0.5,0.6,0.7,2.65,4.6
Never Alone (Kisima Ingitchuna),6,64.89999999999999,0.3,1.0999999999999999,2.75,3.3499999999999996,55.0
The Clockwork Man,2,7.1000000000000005,0.7,2.125,3.5500000000000003,4.9750000000000005,6.4
Star Wars Starfighter,8,13.2,0.1,0.37500000000000006,0.5,1.6750000000000003,7.9
Puzzle Dimension,1,5.8,5.8,5.8,5.8,5.8,5.8
Tidalis,4,5.8,0.1,0.17500000000000002,0.25,1.525,5.2
Operation Flashpoint Dragon Rising,17,66.4,0.1,0.4,1.3,2.5,23.0
The Secret World,16,358.69999999999993,1.7,6.225,10.8,29.0,76.0
Divinity II - The Dragon Knight Saga,2,41.1,8.1,14.325,20.55,26.775,33.0
Darkest Dungeon,37,781.3000000000002,0.6,4.0,7.8,16.1,158.0
Xenonauts,12,175.4,0.2,5.475,10.25,14.700000000000001,56.0
Tales of Maj'Eyal,4,76.3,3.0,3.2249999999999996,17.65,33.5,38.0
Monday Night Combat,19,132.39999999999998,0.6,1.35,4.0,12.0,18.0
Age of Wonders,2,32.8,1.8,9.1,16.4,23.7,31.0
Alpha Protocol,15,52.8,0.2,0.55,1.5,4.45,14.7
Tom Clancy's Rainbow Six Vegas 2,13,108.69999999999999,0.3,1.2,1.6,15.6,39.0
Mount & Blade,29,727.4999999999999,0.3,1.5,5.7,22.0,163.0
X-COM Apocalypse,6,30.5,0.3,0.525,1.3,2.075,25.0
Savage Lands,13,49.1,0.1,0.9,2.4,5.8,11.6
Take On Mars,4,28.4,0.6,1.725,6.1499999999999995,11.524999999999999,15.5
Craft The World,15,789.2,0.4,16.5,28.0,53.0,286.0
Legend of Grimrock 2,7,43.800000000000004,0.3,0.44999999999999996,0.6,3.5,35.0
The Chronicles of Riddick Assault on Dark Athena,7,61.300000000000004,0.3,1.5,1.8,9.1,38.0
King Arthur's Gold,12,36.8,0.3,0.45,1.6,5.2,9.2
Swords and Soldiers HD,6,16.4,0.3,0.525,1.2,2.0250000000000004,11.1
Sid Meier's Civilization IV Colonization,17,56.2,0.1,0.4,1.0,5.4,11.8
Medal of Honor Airborne,10,263.3,0.2,2.5749999999999997,9.05,26.075,148.0
Carrier Command Gaea Mission,6,13.4,0.2,0.22500000000000003,1.0999999999999999,4.15,5.9
Blockstorm,7,10.1,0.2,0.6,1.0,1.8,4.1
Blockland,7,29.4,0.5,1.9,4.2,4.65,11.6
Anarchy Arcade,10,13.8,0.3,0.4,0.65,2.3999999999999995,4.1
Elsword,27,380.6,0.2,0.8,2.2,9.15,116.0
Small World 2,3,21.5,1.9,2.3499999999999996,2.8,9.8,16.8
Iron Grip Warlord,3,14.0,0.4,0.8500000000000001,1.3,6.800000000000001,12.3
Syberia,6,18.0,0.1,1.65,3.55,4.0249999999999995,5.6
Winning Post 8 2015,1,127.0,127.0,127.0,127.0,127.0,127.0
Uplink,14,65.5,0.2,0.5,1.5,3.3,31.0
Tiny and Big Grandpa's Leftovers,16,27.4,0.4,0.6749999999999999,1.05,2.375,6.6
Steel Storm Burning Retribution,9,7.4,0.2,0.2,0.3,0.5,4.4
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,26,61.6,0.1,0.4,0.75,1.9,22.0
SkyDrift,8,20.0,0.1,0.2,1.2999999999999998,2.125,12.2
Smashmuck Champions,6,12.199999999999998,0.1,0.30000000000000004,0.8999999999999999,2.55,7.1
BRINK,30,232.39999999999998,0.2,1.7000000000000002,4.9,11.350000000000001,34.0
Call of Juarez The Cartel,15,102.6,0.2,1.1,4.3,9.1,35.0
The Swapper,26,82.39999999999999,0.1,0.8,1.5,3.875,24.0
Lambda Wars Beta,8,52.699999999999996,0.2,1.1500000000000001,4.3,6.925000000000001,28.0
Card Hunter,20,72.3,0.2,0.7000000000000001,1.75,3.3,17.3
Narcissu 1st & 2nd,8,16.400000000000002,0.4,0.6249999999999999,0.8,2.4499999999999997,6.3
Myst Masterpiece Edition,4,9.5,0.4,0.475,0.5,2.4,8.1
resident evil 4 / biohazard 4,14,96.1,0.3,2.0250000000000004,4.05,6.75,21.0
100% Orange Juice,9,78.30000000000001,0.7,1.4,1.9,3.1,35.0
Zombie Army Trilogy,5,22.0,0.7,0.7,0.8,3.9,15.9
Resident Evil Revelations / Biohazard Revelations,17,111.69999999999999,0.2,0.9,7.4,9.6,22.0
Infestation Survivor Stories,62,1942.7000000000003,0.4,2.1750000000000003,7.75,23.75,672.0
Hurtworld,9,319.8,1.4,2.6,35.0,64.0,97.0
Survival Postapocalypse Now,9,82.5,0.2,1.0,5.5,18.3,27.0
NEO Scavenger,4,21.9,1.8,2.7750000000000004,5.55,8.25,9.0
Victoria II,14,575.1,1.3,2.15,12.55,54.75,155.0
Hegemony III Clash of the Ancients,1,23.0,23.0,23.0,23.0,23.0,23.0
Commander Conquest of the Americas,5,12.0,0.6,1.0,1.3,1.6,7.5
Hegemony Gold Wars of Ancient Greece,2,6.8,0.7,2.05,3.4,4.749999999999999,6.1
Europa Universalis Rome - Gold Edition,3,6.7,0.2,0.4,0.6,3.25,5.9
Uncharted Waters Online Gran Atlas,4,253.8,0.4,9.4,22.2,76.25,209.0
Codename Panzers - Cold War,2,6.3,2.0,2.575,3.15,3.7249999999999996,4.3
METAL SLUG DEFENSE,8,29.6,0.3,0.7500000000000001,2.35,5.4,10.4
Tropico 3 Absolute Power,12,430.9,1.8,15.799999999999999,21.6,41.75,149.0
Restaurant Empire II,2,47.2,3.2,13.4,23.6,33.8,44.0
M.U.D. TV,2,20.8,4.5,7.45,10.4,13.350000000000001,16.3
Airline Tycoon 2,5,31.0,0.4,2.0,6.0,6.7,15.9
Cities XL 2012,11,472.0,0.1,2.65,8.5,24.15,332.0
Remember Me,25,149.39999999999998,0.1,1.6,5.1,8.6,17.6
Quake II,4,10.0,0.4,0.6249999999999999,1.9500000000000002,3.825,5.7
Estranged Act I,11,36.1,0.4,1.0,1.4,2.4,21.0
Quake III Arena,7,20.5,0.2,0.44999999999999996,0.8,1.75,15.1
Tomb Raider II,4,5.999999999999999,0.1,0.9249999999999999,1.75,2.3249999999999997,2.4
X-Blades,10,26.6,0.2,1.125,2.05,4.625,5.3
Overcast - Walden and the Werewolf,6,21.9,0.1,2.025,3.6500000000000004,4.075,8.8
Sacred Gold,6,11.599999999999998,0.1,0.35000000000000003,0.9500000000000001,1.1749999999999998,8.2
Call of Duty 2,7,40.9,0.2,0.35,2.7,5.65,26.0
Oddworld Stranger's Wrath HD,9,17.3,0.1,0.5,0.9,1.6,9.2
F1 2013,10,565.4,2.6,5.275,10.15,40.0,389.0
Depth,27,248.5,0.1,2.15,4.6,10.1,58.0
Squishy the Suicidal Pig,12,27.5,0.2,0.6749999999999999,1.05,3.8999999999999995,6.2
"Hamlet or the last game without MMORPG features, shaders and product placement",1,5.1,5.1,5.1,5.1,5.1,5.1
GooCubelets,5,8.399999999999999,0.1,0.1,0.6,3.5,4.1
Battle Nations,8,1051.2,0.2,0.37500000000000006,0.7,0.925,1047.0
Mountain,12,308.2,0.2,0.475,3.25,16.975,222.0
Devil May Cry 4,18,114.7,0.1,1.9249999999999998,4.1,9.0,19.5
Fiesta Online,1,6.2,6.2,6.2,6.2,6.2,6.2
LYNE,9,83.19999999999999,0.5,2.8,6.2,17.8,22.0
Arctic Combat,3,18.400000000000002,0.1,0.6000000000000001,1.1,9.15,17.2
Hell Yeah!,4,10.0,1.4,1.475,2.2,3.2249999999999996,4.2
Binary Domain,7,34.3,0.3,0.4,1.1,8.9,14.3
The Incredible Adventures of Van Helsing,38,406.20000000000005,0.2,0.7249999999999999,3.9499999999999997,16.6,88.0
RollerCoaster Tycoon 2 Triple Thrill Pack,7,76.19999999999999,0.1,1.05,4.4,13.8,42.0
Grim Dawn,13,220.00000000000003,0.1,1.6,8.8,28.0,60.0
